Workspace Name,Epic Name,Objective ,Final Requirement Description
AION,AION for Causal AI,"[Causal AI] Prompt Creation 
 ","As an end user, I should be able to ask my analysis related questions through a Prompt Handling Interface.

The system should be able to recommend best practices on how to create an optimal prompt 
"
AION,AION LITE,"As a System, I should be able to do the data EDA 
 ","The system has the capability to perform Exploratory Data Analysis (EDA), allowing it to analyze and understand datasets through statistical and visual methods, facilitating insights and decision-making. 
"
AION,AION for Causal AI,"[Causal AI] Data Massaging 
 ","As a user I should be able to view the uploaded data & clean it up before proceeding to analysis.

I should be able to manipulate columns, remove duplicate rows, recalculate derived columns 
"
AION,UX revamp with ReactJS,"Introduce user roles- Admin, Basic, Advanced 
 ","Admin- assigns user roles

Basic- views features under predict & explain. This user profile is execution oriented (Eg: marketeer in Unica, catalogue manager in GeM, etc.)

Advanced- exhaustive feature set for a data scientist- also the current AION view. 
"
AION,AION Autopilot Mode,"As a system, I should be able to automatically select find the best performing model for regression use case. 
 ","The system should automatically explore a range of machine learning algorithms and hyper-parameter settings to find the best-performing model for regression use cases. It should be able to do so for both tabular (structured) and text data. 
"
AION,AION Autopilot Mode,"As a system, I should be able to automatically select find the best performing model for classification use case 
 ","The system should automatically explore a range of machine learning algorithms and hyper-parameter settings to find the best-performing model for classification use cases. It should be able to do so for both tabular (structured) and text data. 
"
AION,UX revamp with ReactJS,"Introduce Readability changes 
 ","1. Remove config download on 'trained model' screen
2. Maintain context in 'Advanced config'
3. Introduce copy changes. Eg: (E)xplain, Zero(e)s
4. No changes in EDA screens
5. Remove AION labelled data under Data 
"
AION,AION for Causal AI,"[Causal AI] Data Analysis based on user prompt 
 ","As a system, I should be able to perform analysis based on the data uploaded by the user & prompt entered by the user.

System should be able to differentiate between data analysis & causal analysis.

The end user is abstracted from identifying between these analysis techniques.

For training data, the system should be able to select a training dataset with high quality spread to ensure representation of all possible scenarios. 
"
AION,UX revamp with ReactJS,"Home Screen table revamp 
 ","1. Remove serial number
2. Add use case ID instead of name
3. Introduce description, created on
4. Add filter per column 
"
AION,AION for Causal AI,"[Causal AI] Reports 
 ","As a user, I should be able to review model results through reports generated for multiple use cases. 
"
AION,AION Autopilot Mode,"As a System, I should be able to conducts hyper-parameter tuning to optimize the configuration of the selected model. 
 ","The system should be able to do automatic hyper-parameter tuning to optimize the configuration of the selected model. 
"
AION,AION Autopilot Mode,"As a system, I should be able to perform automatic feature engineering. 
 ","As a system, I should be able to perform automatic feature engineering to create new features that might improve model performance 
"
AION,GEM- eMarketplace,"[GeM] As a system, I should be able to detect duplicate images at catalogue upload 
 Catalogue Management in GeM: Duplicate image detection"," 
This feature is a part of the anomaly detection capability.


In case same product picture is uploaded for mulitple products, the system should be able to detect & provide an error msg ""This product image exists in the catalogue for Product with SKU ID xxx""


The system should be able to alert the user on which product/SKU uses the image that is being uploaded.


Prerequiste: AION should have the capability to ingest, store and process images"
AION,AION LITE,"As a System, I should be able run specific problem type training 
 ","The system should possess the capability to execute training processes tailored for specific problem types, such as classification or regression etc., enabling targeted model development. 
"
AION,GEM- eMarketplace,"[GeM] As a system, I should be able to detect QR code in a product image & lead the user to the corresponding link during ordering 
 QR Code links in Product Images","Support for Product Image with QR 
This feature is a part of the anomaly detection capability.


The system should be able to read the QR code on a product image.

The system should be able to take the end user to the link corresponding to the QR code in the product image.

In case the link is attached approriately, an error msg should be displayed ""QR code link not working as intended.""


Prerequiste: AION should have the capability to ingest, store and process images"
AION,UX revamp with ReactJS,"Introduce Reports 
 ","Add report downloads under 'Reports' section 
"
AION,AION LITE,"As a User, I should be able to do Input drift analysis as well as performance drift analysis. 
 ","The system should possess the capability to conduct both input drift analysis, assessing changes in input data patterns over time, and performance drift analysis, monitoring variations in model performance, ensuring adaptability and reliability in dynamic environments to maintain effective and accurate predictive outcomes. 
"
